type,name,test,value
execution-time,spidermonkey,covariance,6.366
execution-time,spidermonkey,correlation,6.31
execution-time,spidermonkey,mvt,0.038
execution-time,spidermonkey,bicg,0.024
execution-time,spidermonkey,doitgen,1.717
execution-time,spidermonkey,2mm,7.813
execution-time,spidermonkey,atax,0.029
execution-time,spidermonkey,3mm,16.3
execution-time,spidermonkey,gesummv,0.012
execution-time,spidermonkey,syrk,2.891
execution-time,spidermonkey,gemm,4.987
execution-time,spidermonkey,syr2k,7.461
execution-time,spidermonkey,trmm,2.879
execution-time,spidermonkey,gemver,0.065
execution-time,spidermonkey,symm,5.342
execution-time,spidermonkey,trisolv,0.009
execution-time,spidermonkey,durbin,0.02
execution-time,spidermonkey,ludcmp,13.727
execution-time,spidermonkey,gramschmidt,9.444
execution-time,spidermonkey,cholesky,3.201
execution-time,spidermonkey,lu,13.458
execution-time,spidermonkey,floyd-warshall,70.482
execution-time,spidermonkey,nussinov,28.295
execution-time,spidermonkey,deriche,0.402
execution-time,spidermonkey,heat-3d,30.359
execution-time,spidermonkey,seidel-2d,19.223
execution-time,spidermonkey,jacobi-2d,10.766
execution-time,spidermonkey,adi,12.31
execution-time,spidermonkey,fdtd-2d,7.743
execution-time,spidermonkey,jacobi-1d,0.015
