type,name,test,value
execution-time,wasmersinglepass,covariance,7.792868
execution-time,wasmersinglepass,correlation,7.923672
execution-time,wasmersinglepass,mvt,0.046983
execution-time,wasmersinglepass,bicg,0.040727
execution-time,wasmersinglepass,doitgen,2.213716
execution-time,wasmersinglepass,2mm,10.711563
execution-time,wasmersinglepass,atax,0.035125
execution-time,wasmersinglepass,3mm,22.461458
execution-time,wasmersinglepass,gesummv,0.014003
execution-time,wasmersinglepass,syrk,4.770019
execution-time,wasmersinglepass,gemm,6.968777
execution-time,wasmersinglepass,syr2k,12.492417
execution-time,wasmersinglepass,trmm,3.606693
execution-time,wasmersinglepass,gemver,0.07383
execution-time,wasmersinglepass,symm,7.401202
execution-time,wasmersinglepass,trisolv,0.009149
execution-time,wasmersinglepass,durbin,0.024937
execution-time,wasmersinglepass,ludcmp,14.821629
execution-time,wasmersinglepass,gramschmidt,10.893049
execution-time,wasmersinglepass,cholesky,6.744466
execution-time,wasmersinglepass,lu,18.028784
execution-time,wasmersinglepass,floyd-warshall,137.073342
execution-time,wasmersinglepass,nussinov,18.623855
execution-time,wasmersinglepass,deriche,0.351106
execution-time,wasmersinglepass,heat-3d,18.152803
execution-time,wasmersinglepass,seidel-2d,22.199903
execution-time,wasmersinglepass,jacobi-2d,13.439008
execution-time,wasmersinglepass,adi,15.97307
execution-time,wasmersinglepass,fdtd-2d,11.61153
execution-time,wasmersinglepass,jacobi-1d,0.011687
