type,name,test,value
execution-time,x8664native,covariance,6.097221
execution-time,x8664native,correlation,6.134017
execution-time,x8664native,mvt,0.020026
execution-time,x8664native,bicg,0.010144
execution-time,x8664native,doitgen,0.515182
execution-time,x8664native,2mm,3.534804
execution-time,x8664native,atax,0.005971
execution-time,x8664native,3mm,6.171358
execution-time,x8664native,gesummv,0.004655
execution-time,x8664native,syrk,1.074541
execution-time,x8664native,gemm,0.59278
execution-time,x8664native,syr2k,5.626426
execution-time,x8664native,trmm,2.366517
execution-time,x8664native,gemver,0.024988
execution-time,x8664native,symm,3.50291
execution-time,x8664native,trisolv,0.002587
execution-time,x8664native,durbin,0.002726
execution-time,x8664native,ludcmp,8.75003
execution-time,x8664native,gramschmidt,9.970465
execution-time,x8664native,cholesky,1.514045
execution-time,x8664native,lu,8.995783
execution-time,x8664native,floyd-warshall,13.760851
execution-time,x8664native,nussinov,6.190119
execution-time,x8664native,deriche,0.234232
execution-time,x8664native,heat-3d,2.166509
execution-time,x8664native,seidel-2d,18.649608
execution-time,x8664native,jacobi-2d,1.664439
execution-time,x8664native,adi,8.377356
execution-time,x8664native,fdtd-2d,2.017878
execution-time,x8664native,jacobi-1d,0.000519
