type,name,test,value
execution-time,x8664native,2mm,3.053673
execution-time,x8664native,3mm,5.536218
execution-time,x8664native,adi,8.409206
execution-time,x8664native,atax,0.005968
execution-time,x8664native,bicg,0.009349
execution-time,x8664native,cholesky,1.483591
execution-time,x8664native,correlation,5.849097
execution-time,x8664native,covariance,5.972206
execution-time,x8664native,deriche,0.225039
execution-time,x8664native,doitgen,0.520566
execution-time,x8664native,durbin,0.002733
execution-time,x8664native,fdtd-2d,2.052557
execution-time,x8664native,floyd-warshall,13.720883
execution-time,x8664native,gemm,0.594951
execution-time,x8664native,gemver,0.024862
execution-time,x8664native,gesummv,0.00456
execution-time,x8664native,gramschmidt,10.041605
execution-time,x8664native,heat-3d,2.136582
execution-time,x8664native,jacobi-1d,0.0005
execution-time,x8664native,jacobi-2d,1.641192
execution-time,x8664native,lu,6.966872
execution-time,x8664native,ludcmp,7.020292
execution-time,x8664native,mvt,0.019961
execution-time,x8664native,nussinov,5.358256
execution-time,x8664native,seidel-2d,18.579308
execution-time,x8664native,symm,3.257999
execution-time,x8664native,syr2k,4.757723
execution-time,x8664native,syrk,0.933832
execution-time,x8664native,trisolv,0.002394
execution-time,x8664native,trmm,2.189699
