type,name,test,value
execution-time,spidermonkey,covariance,6.38
execution-time,spidermonkey,correlation,6.231
execution-time,spidermonkey,mvt,0.039
execution-time,spidermonkey,bicg,0.024
execution-time,spidermonkey,doitgen,1.71
execution-time,spidermonkey,2mm,7.713
execution-time,spidermonkey,atax,0.029
execution-time,spidermonkey,3mm,16.261
execution-time,spidermonkey,gesummv,0.013
execution-time,spidermonkey,syrk,2.918
execution-time,spidermonkey,gemm,4.991
execution-time,spidermonkey,syr2k,7.484
execution-time,spidermonkey,trmm,2.85
execution-time,spidermonkey,gemver,0.065
execution-time,spidermonkey,symm,5.378
execution-time,spidermonkey,trisolv,0.008
execution-time,spidermonkey,durbin,0.022
execution-time,spidermonkey,ludcmp,13.762
execution-time,spidermonkey,gramschmidt,9.655
execution-time,spidermonkey,cholesky,3.226
execution-time,spidermonkey,lu,13.306
execution-time,spidermonkey,floyd-warshall,71.375
execution-time,spidermonkey,nussinov,28.297
execution-time,spidermonkey,deriche,0.393
execution-time,spidermonkey,heat-3d,30.189
execution-time,spidermonkey,seidel-2d,18.927
execution-time,spidermonkey,jacobi-2d,11.03
execution-time,spidermonkey,adi,12.681
execution-time,spidermonkey,fdtd-2d,7.479
execution-time,spidermonkey,jacobi-1d,0.014
